Type,Name,Address,Rooms,Grade,District,AGA Division,PS/MC/UC,Logitiute,Latitude
Home Stay Units,LUMBINI INN,"NO 7,L,PARADISE GARDEN, LEWKE MAWATHA,WAHUGAPITIYA.,,PUSSELLAWA",4,STANDARD,Kandy,Udapalatha,Udapalatha Divisional Secretariat,80.638241,7.110983
Home Stay Units,KANDY HILL VIEW HOME STAY,"50/10,,UPLANDS,,KANDY.",1,STANDARD,Kandy,Kandy,Kandy Divisional Secretariat,80.633726,7.290572
Home Stay Units,AVAANA BY SPRINGHILLS,"103/2, DOOLWALA,,HALLOLUWA,KANDY",2,STANDARD,Kandy,Harispattuwa Pradeshiya Sabha,Harispattuwa Divisional Secretariat,80.595915,7.311916
Home Stay Units,OCEAN PEBBLES,"24A,,HILL STREET,,DEHIWELA",3,SUPERIOR,Colombo,Dehiwala-Mount Lavinia,Dehiwala Divisional Secretariat,79.8665,6.851297
Home Stay Units,LAKESIDE LODGE KANDY,"36/1,SANGARAJA MAWATHE,KANDY",2,STANDARD,Kandy,Kandy,Kandy Divisional Secretariat,80.643209,7.28971
Home Stay Units,CHAMALKAS HOMESTAY,"67A,CHURCH STREET,FORT GALLE",4,DELUXE,Galle,Galle,Galle Divisional Secretariat,80.216964,6.029135
Home Stay Units,VILLA ARUNALU KANDY,"NO 383/D ILLUKMODARA ESTATE,THENNEKUMBURA,KANDY",4,DELUXE,Kandy,Gagawata Koralya,Kandy Divisional Secretariat,80.633726,7.290572
Home Stay Units,GRACE GREEN VILLE HOMESTAY,"414/5,ST. RITA'S ROAD, DALUWAKOTUWA,KOCHCHIKADE",4,DELUXE,Gampaha,Negombo,Negombo Divisional Secretariat,NULL,NULL
Home Stay Units,SUMMERLAND,"821, MORAVITIYA LANE, BUTHGAMUWA ROAD, GOTHATUWA NEW TOWN ,RAJAGIRIYA",3,STANDARD,Colombo,Kotikawatta Mulleriyawa Pradeshiya Sabha,Kolonnawa Divisional Secretariat,NULL,NULL
Rented Apartments,LOTUS APARTMENT,"72 2/1D, CARLTON RESIDENCIES, PAPILIYANA RD,NADIMALA, DEHIWALA",2,SUPERIOR,Colombo,Dehiwala-Mount Lavinia,Dehiwala Divisional Secretariat,NULL,NULL
Rented Apartments,LILY,"72 3/1E, CARLTON RESIDENCIES, PAPILIYANA ROAD, NADIMALA, DEHIWALA.",1,SUPERIOR,Colombo,Colombo,Colombo Divisional Secretariat,NULL,NULL
Rented Apartments,COTTAGE GARDEN BUNGALOWS,"42-48, COLLEGE AVENUE, MOUNT LAVINIA",3,STANDARD,Colombo,Colombo,Colombo Divisional Secretariat,79.864464,6.838671
Rented Apartments,HOLIDAY RESIDENT SEREDEEP,"70/2, BADDAGANA NORTH, KOTTE",1,SUPERIOR,Colombo,Colombo,Colombo Divisional Secretariat,NULL,NULL
Rented Apartments,LAVINIA GARDEN BUNGALOW,"38 - 40, COLLEGE AVENUE, MOUNT LAVINIA",2,STANDARD,Colombo,Dehiwala-Mount Lavinia,Ratmalana Divisional Secretariat,NULL,NULL
Rented Apartments,CINNAMON PENTHOUSE,"24-3F CRESCAT RESIDANCIES, NO75, GALLE ROAD, COLOMBO 03.",5,DELUXE,Colombo,Colombo,Thimbirigasyaya Divisional Secretariat,79.84808,6.917928
Rented Apartments,MILAN SQUARE,"7/5, 10, 37TH LANE, COLOMBO 06",3,SUPERIOR,Colombo,Colombo,Colombo Divisional Secretariat,79.862908,6.869139
Rented Apartments,STATION COURT,"3/3, 19, WELLAWATTE ROAD, COLOMBO 6",3,SUPERIOR,Colombo,Colombo,Colombo Divisional Secretariat,79.8582943,6.8746633
Rented Apartments,SANILKA ESTATE,"HENYAYA, BODAGAMA, THANAMALWILA",4,SUPERIOR,Moneragala,Thanamalwila Pradeshiya Sabha,Thanamalvila Divisional Secretariat,NULL,NULL
Rented Apartments,CITY BEDS THE REGENT,"201/2, NEW REGENT BUILDING, COLOMBO 2",5,SUPERIOR,Colombo,Colombo,Colombo Divisional Secretariat,NULL,NULL
Rented Apartments,OHM FROM OHM,"457/18, MILLAGAHA WATTE, NAWALA ROAD, RAJAGIRIYA.",2,SUPERIOR,Colombo,Kotte Muncipal Council,Colombo Divisional Secretariat,NULL,NULL
Rented Apartments,NIRANA APARTMENT,"21, CHAPEL ROAD, NUGEGODA",2,SUPERIOR,Colombo,Kotte Muncipal Council,Nugegoda Divisional Secretariat,79.886749,6.871861
Rented Apartments,FLOWER GARDEN STAY,"157/13, SAUSIRI UYANA, PITTUGALA, MALABE",2,SUPERIOR,Colombo,Kaduwela Pradeshiya Sabha,kaduwela Divisional Secretariat,NULL,NULL
Rented Apartments,BERALIYA,"BATAPOLA ROAD, KAHAWA",8,SUPERIOR,Galle,Galle,Hikkaduwa Divisional Secretariat,NULL,NULL
Rented Apartments,SIRIMAL HOME REST,"MAKAN WATTE, GODAKANDA, GALLE",3,SUPERIOR,Galle,Bope,Bope-Poddala Divisional Secretariat,NULL,NULL
Rented Apartments,SCHONE VILLA,"HARBOUR ROAD, MIRISSA-SOUTH",2,SUPERIOR,Matara,Weligama Pradeshiya Sabha,Weligama Divisional Secretariat,NULL,NULL
Rented Apartments,AMALI HOME STAY,"258/C, BOWALAWATTE, KANDY",1,STANDARD,Kandy,Kandy,Gagawata,80.617781,7.259649
Rented Apartments,GOLDEN VILLA,"NAGAHA JUNCTION, PANWILA, HIKKADUWA",2,SUPERIOR,Galle,Galle,Hikkaduwa Divisional Secretariat,NULL,NULL
Rented Apartments,PINE STUDIO,"15/3, ASHLEY HILLS RESIDENCIES, LADY MACCULUM DRIVE, NUWARA ELIYA",1,DELUXE,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.769601,6.976232
Rented Apartments,SJS RESIDENCE,"NO 22, RAMANI MAWATHA, NEGAMBO",2,DELUXE,Gampaha,Negombo,Negombo Divisional Secretariat,NULL,NULL
Rented Apartments,ANNIWATTE COTTAGE,"4/36, PITAKANDA ROAD, ANNIWATTE, KANDY",2,SUPERIOR,Kandy,Kandy,GANGAWATA KORALAYA,80.61939,7.287361
Rented Apartments,ROMANS REASIDENCE,"ROMANS RESIDENCE, KURUNEGALA ROAD,. NEW TOWN, MADAMPE",2,STANDARD,Puttalam,Chilaw Pradeshiya Sabha,Chilaw Divisional Secretariat,NULL,NULL
Rented Apartments,NANAYAKKARA LODGE,"117/24A, PEIRIS MAWATHA, KALUBOWILA, DEHIWALA",2,STANDARD,Colombo,Dehiwala-Mount Lavinia,Dehiwala Divisional Secretariat,NULL,NULL
Rented Apartments,HOME STAY MATARA,"1/9 B, BROWNS HILL, MATARA",3,SUPERIOR,Matara,Matara,Matara Divisional Secretariat,80.561313,5.943112
Rented Apartments,ALPINE RIDGE APARTMENT,"8/8 A, PITAKANDA ROAD, ARUPPOLA, KANDY",4,STANDARD,Kandy,Kandy,Kandy Divisional Secretariat,NULL,NULL
Rented Apartments,THE RESIDENCE ON CHITRA,"35, CHITRA LANE, COLOMBO 5",4,STANDARD,Colombo,Colombo,Colombo Divisional Secretariat,NULL,NULL
Rented Apartments,NIMACRO,"23/1/7, HAWAII RESIDENCIES, SAGARA ROAD, COLOMBO 4",2,SUPERIOR,Colombo,Colombo,Colombo Divisional Secretariat,NULL,NULL
